	country	is_included	total	pass_min_tweet	pass_und_thresh
0	DE	True	401160	325093	348342
1	MK	False	7654	6314	5806
2	HR	False	5929	4649	1972
3	ME	False	3004	2376	752
4	BE	False	118831	88115	98818
5	UA	False	45899	32403	40623
6	RS	False	45170	37486	7339
7	TR	True	1841939	1511347	1627067
8	SE	True	130018	88061	110874
9	PL	True	147683	128755	131349
10	AT	True	29104	23231	25477
11	HU	True	14709	11338	12323
12	CH	False	51692	40536	44303
13	CZ	True	32931	26978	28415
14	EE	True	4686	3077	4117
15	GB	True	4059107	2978932	3445674
16	GR	True	56668	45347	48075
17	AZ	True	8357	6663	7023
18	LT	True	2361	1786	2036
19	FI	True	46514	36914	43124
20	AM	True	2444	2114	2186
21	MD	True	377	257	313
22	RU	True	539762	414712	490138
23	AD	True	446	342	365
24	SK	False	915	613	511
25	ES	True	2041510	1518965	1741360
26	BY	True	32836	21304	29791
27	IE	True	221533	161609	187240
28	NO	True	41007	26896	35484
29	FR	True	1705117	1366372	1407132
30	AL	False	259	182	201
31	NL	True	376314	242603	330127
32	SM	True	329	265	283
33	IT	True	453279	351837	385862
34	BG	True	4687	3667	3963
35	BA	False	1993	1511	599
36	CY	False	5720	4320	4750
37	GE	True	705	511	554
38	IL	True	20245	17534	18750
39	MT	False	966	721	815
40	SI	True	6963	5527	5669
41	MC	False	1155	911	936
42	LV	True	18890	10632	16706
43	LI	False	258	249	235
44	IS	True	4375	3077	3892
45	PT	True	334857	298060	296239
46	RO	True	6550	5102	5329
47	LU	False	2666	2077	2269
48	DK	True	27139	20574	23938
